№,Team,M,G,GA,gpm_scored,gpm_conceded
1,Brentford,8,26,14,3.25,1.75
2,Liverpool,8,15,5,1.875,0.625
3,Arsenal,8,17,6,2.125,0.75
4,Manchester City,8,16,12,2.0,1.5
5,Chelsea,8,14,9,1.75,1.125
6,Aston Villa,8,13,9,1.625,1.125
7,Newcastle United,8,12,8,1.5,1.0
8,Bournemouth,8,11,7,1.375,0.875
9,Nottingham Forest,8,10,7,1.25,0.875
10,Fulham,8,14,13,1.75,1.625
11,Tottenham,8,20,11,2.5,1.375
12,Manchester United,8,13,11,1.625,1.375
13,Brighton,8,13,12,1.625,1.5
14,West Ham,8,12,16,1.5,2.0
15,Everton,7,9,8,1.2857142857142858,1.1428571428571428
16,Leicester,8,11,12,1.375,1.5
17,Crystal Palace,8,6,10,0.75,1.25
18,Ipswich,8,6,12,0.75,1.5
19,Wolverhampton Wanderers,8,12,20,1.5,2.5
20,Southampton,8,7,21,0.875,2.625
