№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Liverpool,9,7,2,0,27,11,23,25.49-1.51,9.07-1.93,21.40-1.60
2,Chelsea,9,6,2,1,23,10,20,20.65-2.35,16.30+6.30,14.06-5.94
3,Nottingham Forest,10,6,2,2,15,12,20,13.88-1.12,13.78+1.78,13.62-6.38
4,Arsenal,9,4,3,2,17,10,15,16.92-0.08,12.14+2.14,15.42+0.42
5,Bournemouth,10,4,3,3,18,16,15,21.21+3.21,16.37+0.37,17.20+2.20
6,Manchester City,10,4,2,4,15,13,14,16.97+1.97,18.25+5.25,13.24-0.76
7,Fulham,9,3,4,2,12,10,13,14.19+2.19,12.24+2.24,14.09+1.09
8,Newcastle United,9,3,3,3,15,13,12,15.09+0.09,15.81+2.81,12.50+0.50
9,Brighton,9,3,3,3,14,14,12,12.30-1.70,15.46+1.46,10.90-1.10
10,West Ham,9,3,3,3,10,13,12,11.63+1.63,16.95+3.95,9.22-2.78
11,Tottenham,9,3,1,5,16,9,10,19.44+3.44,14.17+5.17,14.31+4.31
12,Crystal Palace,9,2,4,3,11,11,10,12.99+1.99,15.04+4.04,11.32+1.32
13,Aston Villa,9,3,1,5,11,19,10,13.06+2.06,19.90+0.90,8.44-1.56
14,Manchester United,9,2,3,4,8,10,9,13.67+5.67,15.11+5.11,11.44+2.44
15,Wolverhampton Wanderers,10,2,3,5,17,22,9,9.28-7.72,17.55-4.45,9.11+0.11
16,Ipswich,9,2,2,5,10,17,8,10.15+0.15,23.14+6.14,5.47-2.53
17,Everton,9,1,4,4,6,14,7,9.14+3.14,15.54+1.54,8.48+1.48
18,Leicester,9,1,2,6,11,25,5,9.76-1.24,23.98-1.02,6.30+1.30
19,Brentford,9,0,2,7,6,16,2,9.13+3.13,20.10+4.10,6.20+4.20
20,Southampton,10,0,2,8,5,17,2,9.55+4.55,21.76+4.76,6.84+4.84
